http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=Tomkap&hgS_otherUserSessionName=ZLD,,,,,,,,,,,,,,,,,,,
PID,Chr,From,To,Peak,Height,Label,Link,Genes,Dists,TSS_gene,TSS_dist,St3_Height,St4_Height,St5_Height,Slope,Dynamics,Max_3_to_1_contamination,Max_1_to_3_contamination,DNaseI_st5
1246,chr3L,8308010,8308320,8308150,670.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:8303010-8313320,"CG7185,CG13670,CG7188,","0,5712,-6088,", CG7185 ,437,332,851.6,836.9,1.33, /- ,0.3966,2.5213,271.6347
1247,chr3L,15588480,15588810,15588630,633.2,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:15583480-15593810,"RhoGAP71E,CG7656,CG12304,","0,-7364,-10183,", RhoGAP71E ,6651,83,640.2,1181.3,3.83, // ,0.0702,14.2349,36.9451
1248,chr3R,17273530,17273830,17273680,638.6,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:17268530-17278830,"lbe,lbl,CG7922,","-1638,-13835,34366,", lbe ,1638,521.6,703.2,692.8,0.41, /- ,0.753,1.3281,56.2918
1249,chr2R,3477810,3478120,3477970,690,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:3472810-3483120,"scra,CG1360,blow,","0,-359,-3389,", scra ,347,200.8,752.5,1127,2.49, // ,0.1782,5.6124,347.7148
1250,chr3L,13340440,13340760,13340610,651.6,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:13335440-13345760,"CG17687,Nplp2,CG14113,","1715,9022,-17805,", CG17687 ,1715,270.5,718.6,965.7,1.84, // ,0.2801,3.5705,48.2061
1251,chr3R,10598640,10598970,10598830,619.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:10593640-10603970,"CG3563,CG7362,CG33330,","0,-10072,21267,", CG7362 ,10072,469.8,680.5,709.4,0.59, /- ,0.6622,1.51,12.8675
1252,chr3L,19236280,19236580,19236430,698.6,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:19231280-19241580,"CG33647,fz2,mRpL21,","-6273,-8239,10903,", CG33647 ,6971,837.3,849.5,426.8,-0.97, -\ ,1.9619,0.5097,13.5346
1253,chr2R,18569230,18569540,18569380,670.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:18564230-18574540,"ppa,CG12190,robo,","3649,-8663,10648,", ppa ,7098,330.5,877.6,828.9,1.33, /- ,0.3987,2.5083,106.479
1254,chr2R,11100460,11100780,11100640,611.9,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:11095460-11105780,"CG8092,CG8093,CG11808,","0,1196,3073,", CG8092 ,497,1024.7,625.9,188.8,-2.44, \\ ,5.4282,0.1842,27.402
1255,chr2L,14508940,14509250,14509080,618.1,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:14503940-14514250,"noc,CG33648,CG4218,","-15061,15845,38439,", CG33648 ,15845,380.1,702.2,796.3,1.07, // ,0.4773,2.095,71.6956
1256,chr3R,12352160,12352480,12352340,609.7,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:12347160-12357480,"decay,Gr89a,Cad89D,","-24946,-27659,-31199,", decay ,24946,332,717.6,779.7,1.23, /- ,0.4257,2.3489,116.4887
1257,chrX,16304890,16305180,16305040,664.8,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:16299890-16310180,"CG4301,Traf-like,Anxb11,","0,4061,6228,", CG4301 ,1930,1329.3,558,108.7,-3.61, \\ ,12.2297,0.0818,13.6315
1258,chr2L,3769510,3769830,3769680,701.5,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:3764510-3774830,"CG31772,bowl,CG31959,","-1489,2025,-10468,", bowl ,2025,529,791.7,789.5,0.58, /- ,0.6701,1.4922,20.6978
1259,chrX,2302720,2303110,2302910,609.5,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:2297720-2308110,"CG12496,CG32797,gt,","479,16219,18229,", CG12496 ,2022,177.8,596.7,1063.5,2.58, // ,0.1672,5.9803,199.1703
1260,chr2L,4902380,4902680,4902530,700.5,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:4897380-4907680,"CG3036,CG2837,hoe1,","0,1537,6214,", CG2837 ,4186,509.8,694.8,905.6,0.83, // ,0.5629,1.7764,63.7187
1261,chr3L,4159350,4159650,4159510,695,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:4154350-4164650,"nab,mas,CG1299,","0,2143,-7033,", nab ,1399,177.8,713.8,1203.6,2.76, // ,0.1477,6.7684,40.3352
1262,chr2L,9567670,9568000,9567850,617.8,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:9562670-9573000,"CG3838,jp,CG4389,","1041,-1100,5712,", CG3838 ,1041,269.7,639.1,952.5,1.82, // ,0.2832,3.5316,51.775
1263,chr3R,16117670,16118190,16117830,612.9,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:16112670-16123190,"CG5060,cic,CG4367,","-990,1156,11969,", cic ,1156,246,744.6,874.1,1.83, // ,0.2814,3.5534,362.5989
1264,chr3L,5318850,5319150,5319000,696.8,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:5313850-5324150,"lama,Klp64D,CG4769,","17714,31320,34289,", lama ,25579,1239.6,629.6,246,-2.33, \\ ,5.0393,0.1984,7.9226
1265,chr3R,22712460,22713090,22712630,607.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:22707460-22718090,"T48,ro,CG5500,","0,-5737,-6449,", T48 ,5175,237.1,513,1077.8,2.18, // ,0.22,4.5455,249.7363
1266,chr3L,14830050,14830360,14830200,660.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:14825050-14835360,"CG17839,gnu,NHP2,","0,-33743,-34911,", CG17839 ,31849,1431.5,456.3,102.4,-3.8, \\ ,13.9798,0.0715,7.2895
1267,chr2L,21099130,21099450,21099270,622.3,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:21094130-21104450,"CG12050,CG34136,CG9257,","0,-338,3468,", CG34136 ,2349,540.9,697.4,628.7,0.22, /- ,0.8603,1.1623,27.5141
1268,chr3L,10853170,10853610,10853440,633.7,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:10848170-10858610,"tna,CG6418,CG14149,","0,15923,18753,", tna ,2449,285.3,614.2,1086.9,1.93, // ,0.2625,3.8102,262.1029
1269,chr2R,11580960,11581280,11581100,636.3,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:11575960-11586280,"CG30087,CG33460,CG30088,","0,517,-1332,", CG33460 ,517,1023.3,666.1,226,-2.18, \\ ,4.5284,0.2208,13.7445
1270,chr3R,9737230,9737570,9737360,605.9,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:9732230-9742570,"ems,Art9,Art6,","-7014,29912,33060,", ems ,9780,638,605.2,614.4,-0.05, -- ,1.0384,0.9631,43.8083
1271,chr3R,1036960,1037510,1037330,655.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:1031960-1042510,"cno,CG12161,CG1116,","0,6136,8059,", cno ,5817,258.6,836.3,874.1,1.76, /- ,0.2958,3.3803,51.4169
1272,chr2L,2453490,2453790,2453630,684.3,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:2448490-2458790,"dpp,CG9886,CG34447,","0,-30715,-33620,", dpp ,1108,406.8,721.3,940.5,1.21, // ,0.4325,2.312,19.8377
1273,chr2L,21190890,21191200,21191050,671.3,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:21185890-21196200,"Ret,CG31624,Mcm10,","0,8256,-8257,", Ret ,4452,624.6,631.2,769.4,0.3, -/ ,0.8118,1.2318,22.0032
1274,chr2R,17599740,17600030,17599880,647.6,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:17594740-17605030,"CG30403,HmgD,Tango11,","-766,955,4399,", CG30403 ,766,67.4,637.5,1238.5,4.2, // ,0.0544,18.3683,168.6434
1275,chr2R,2490630,2490930,2490790,656.7,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:2485630-2495930,"jing,CG15233,CG15234,","0,-2307,3704,", CG15233 ,2307,231.2,718.6,1028.6,2.15, // ,0.2248,4.4493,74.0036
1276,chr3LHet,206990,207310,207160,609.7,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3LHet:201990-212310,"CG41346,scro,CG40000,","-138,332,37941,", scro ,332,373.4,700.6,763.7,1.03, /- ,0.489,2.045,178.8862
1277,chr2L,20798310,20798610,20798470,730.9,UTR5,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:20793310-20803610,"CG9328,vari,Pomp,","0,-1430,-9370,", CG9328 ,740,231.9,801.3,1159.6,2.32, // ,0.2,4.9999,114.9521
1278,chr2L,18369520,18369840,18369690,601,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:18364520-18374840,"Fas3,CG34171,Acp36DE,","0,8935,-10664,", CG34171 ,8935,538.7,573.4,699.1,0.38, -/ ,0.7706,1.2977,37.0408
1279,chr3R,12544540,12544840,12544680,608.9,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:12539540-12549840,"Ubx,CG31275,CG31498,","0,31773,-53220,", Ubx ,15668,246,696.4,886.7,1.85, // ,0.2774,3.6045,83.7388
1280,chr2R,1923830,1924140,1923990,664.7,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:1918830-1929140,"CG14591,SCAP,CG7861,","72,-979,6169,", SCAP ,979,655,728.2,611,-0.1, -- ,1.0721,0.9328,125.6449
1281,chr2R,17590210,17590870,17590700,598.4,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:17585210-17595870,"HmgZ,CG17922,CG30403,","0,-6043,6251,", HmgZ ,287,46.7,637,1124.1,4.59, // ,0.0415,24.081,784.9602
1282,chr3R,8209960,8210270,8210130,639.6,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:8204960-8215270,"CG17639,CG10035,CG34402,","0,-1718,1840,", CG17639 ,62,485.3,836.3,610.4,0.33, /\ ,0.7951,1.2577,35.6275
1283,chrX,17545960,17546250,17546100,617.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:17540960-17551250,"RhoGAPp190,CG8211,beta-Spec,","0,700,5353,", RhoGAPp190 ,439,145.2,693.2,1019.4,2.81, // ,0.1425,7.0195,247.7809
1284,chr3R,12628650,12628950,12628780,653.7,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:12623650-12633950,"abd-A,Glut3,CG31275,","4568,-13035,-51669,", Glut3 ,14748,163.8,730.8,1070.3,2.71, // ,0.153,6.5363,40.8023
1285,chr2L,22046080,22046390,22046220,637.8,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:22041080-22051390,"CG31601,CG41434,CG34173,","-3186,-7250,7662,", CG31601 ,3186,515.7,784.9,648.2,0.33, /\ ,0.7957,1.2568,24.6125
1286,chrX,18589380,18589710,18589550,596.9,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:18584380-18594710,"Cyp18a1,phm,CCKLR-17D1,","-2772,-7293,11976,", Cyp18a1 ,2772,226,686.8,902.2,2, // ,0.2505,3.9919,203.6238
1287,chr3L,7129430,7129730,7129580,622.1,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:7124430-7134730,"melt,Dbi,CG8628,","0,-3013,-4987,", melt ,1963,326.8,622.2,923.3,1.5, // ,0.3539,2.8256,18.7053
1288,chr3L,21432770,21433060,21432920,625.5,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:21427770-21438060,"CG5664,Aef1,CG5656,","0,-1947,2402,", CG5664 ,1503,720.2,739.8,421.6,-0.77, -\ ,1.7082,0.5854,26.1516
1289,chr3L,5967590,5967880,5967730,666.2,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:5962590-5972880,"CG10479,CG32406,CG33993,","0,22583,-23975,", CG10479 ,1375,274.9,728.2,1005.1,1.87, // ,0.2735,3.6564,62.843
1290,chr2R,20401330,20401640,20401500,656.9,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:20396330-20406640,"CG4589,CG13581,CG4612,","0,-6264,9706,", CG4589 ,1238,191.2,697.4,1083.5,2.5, // ,0.1764,5.6678,104.7061
1291,chr2L,18894780,18895070,18894940,715.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:18889780-18900070,"tup,ssp3,CG10602,","-13684,21584,-35728,", tup ,13684,601.7,807.1,751.1,0.32, /- ,0.801,1.2484,98.0387
1292,chrX,489690,489990,489850,637,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:484690-494990,"vnd,CG13366,Appl,","0,14728,-17678,", vnd ,4776,433.5,584.5,893,1.04, // ,0.4854,2.0602,56.5498
1293,chr2L,12434390,12434690,12434530,659.8,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:12429390-12439690,"SC35,Elf,CG5435,","0,0,-3637,", Elf ,99,609.1,685.8,705.4,0.21, -- ,0.8635,1.1581,475.5115
1294,chr3R,2177460,2177760,2177600,656.1,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:2172460-2182760,"Pak,Hr83,CG18048,","0,-1366,-4360,", Pak ,973,229,739.3,1000,2.13, // ,0.229,4.3675,103.4818
1295,chr2L,9182370,9182660,9182520,687.3,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:9177370-9187660,"tai,CG9586,CG13108,","0,-16075,-17095,", tai ,15719,1147.7,604.1,310.1,-1.89, \\ ,3.7017,0.2701,9.8107
1296,chr3R,18500370,18500680,18500530,636.1,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:18495370-18505680,"CG6954,CG17623,Gclm,","0,-9421,10197,", CG6954 ,640,286,772.1,852.4,1.58, // ,0.3355,2.9802,110.4146
1297,chr2L,7633020,7633320,7633180,671,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:7628020-7638320,"CG13792,Slob,CG6739,","10346,13854,-16652,", CG13792 ,12817,246.7,654.5,1123.5,2.19, // ,0.2196,4.5536,45.3223
1298,chrX,6771840,6772170,6772030,589.5,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:6766840-6777170,"CG33691,CG14434,CG4558,","0,-25359,-26113,", CG33691 ,250,161.5,649.7,974.8,2.59, // ,0.1657,6.0348,150.4138
1299,chr3L,20689610,20689920,20689780,707.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:20684610-20694920,"kni,CG34260,CG13253,","-1317,12724,16153,", kni ,1317,1147.7,587.2,386.7,-1.57, \- ,2.9679,0.3369,15.0298
1300,chr2L,3615030,3615650,3615230,641.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:3610030-3620650,"Dot,CG15418,for,","3960,5859,6843,", Dot ,3960,190.4,706.4,1049.7,2.46, // ,0.1814,5.5126,134.959
1301,chr3R,11994160,11994460,11994300,654,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:11989160-11999460,"CG6006,CG8925,CG8927,","0,3430,12441,", CG8925 ,3430,830.6,873.4,258,-1.69, -\ ,3.2194,0.3106,6.0679
1302,chr3R,3262800,3263100,3262950,655,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:3257800-3268100,"CG14598,wa-cup,CG34023,","2537,-14216,-16530,", CG14598 ,2537,1310,514.1,149.9,-3.13, \\ ,8.7403,0.1144,3.5039
1303,chrX,18552070,18552380,18552230,609.1,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:18547070-18557380,"fu,CG6659,CG6696,","0,-911,2291,", fu ,444,1074.4,646.5,107,-3.33, \\ ,10.0432,0.0996,28.3513
1304,chrX,9585120,9585560,9585270,586.4,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:9580120-9590560,"btd,CG15321,nej,","2950,-7565,-8361,", btd ,2950,901.7,555.4,312.9,-1.53, \\ ,2.8817,0.347,12.2419
1305,chr2L,9431870,9432180,9432010,660.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:9426870-9437180,"scat,FucTB,CG3769,","0,-981,3499,", scat ,604,317.9,780.6,893.6,1.49, // ,0.3557,2.8111,30.1546
1306,chr3L,22260830,22261170,22261000,585.5,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:22255830-22266170,"Csp,CG11523,Ddx1,","0,-1227,-1876,", Csp ,640,172.6,719.7,867.3,2.33, // ,0.1991,5.0234,388.7412
1307,chr3R,8889920,8890230,8890070,636.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:8884920-8895230,"sim,DDB1,CG7966,","0,-7616,-12898,", sim ,6590,120,656.6,1144.1,3.25, // ,0.1049,9.5317,356.283
1308,chr3R,20892890,20893250,20893090,583.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:20887890-20898250,"OstStt3,CG11820,veli,","0,-650,-1773,", CG11820 ,1565,461.6,607.3,689.3,0.58, /- ,0.6696,1.4933,163.9144
1309,chr2R,17364770,17365150,17364950,583.3,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:17359770-17370150,"Sdc,Sara,Fkbp13,","0,4473,9719,", Sdc ,3723,83.7,607.3,1075.5,3.68, // ,0.0779,12.845,105.6013
1310,chr3L,22272330,22272660,22272500,609.2,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:22267330-22277660,"CG11489,Hem,Csp,","0,4953,-5654,", CG11489 ,2037,694.3,765.8,382.7,-0.86, -\ ,1.8141,0.5512,35.9036
1311,chr3L,14965040,14965340,14965200,903,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:14960040-14970340,"Brd,Tom,Ocho,","568,-1783,2747,", Brd ,568,697.2,975.6,1050.9,0.59, /- ,0.6635,1.5072,167.6419
1312,chr2R,18997870,18998170,18998010,656,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:18992870-19003170,"Gr59d,Gr59c,RpL37b,","-5318,-6754,-10114,", Gr59d ,5318,551.3,813.5,613.3,0.15, /\ ,0.8989,1.1124,14.3172
1313,chr2L,1995600,1995900,1995740,604.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:1990600-2000900,"CG33543,Obp22a,NPC2,","2033,-3588,-6791,", Obp22a ,3588,994.4,631.7,191.1,-2.38, \\ ,5.2042,0.1922,4.5107
1314,chr2R,18967140,18967490,18967310,611.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:18962140-18972490,"Art7,Gr59a,Gr59b,","-751,773,2415,", Art7 ,751,1084,551.7,208.8,-2.38, \\ ,5.1916,0.1926,15.2574
1315,chr2R,17411870,17412180,17412010,731.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:17406870-17417180,"Egfr,CG30289,CG30288,","0,-2672,-4136,", Egfr ,1501,256.4,840,1108.1,2.11, // ,0.2314,4.3222,68.6745
1316,chr2L,5341850,5342140,5341990,678.1,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:5336850-5347140,"CG12512,CG14021,nompC,","0,-3937,4246,", CG12512 ,359,951.4,719.7,363.3,-1.39, \\ ,2.619,0.3818,12.0301
1317,chr2R,10369700,10370050,10369850,580,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:10364700-10375050,"L,cpsf,Oaz,","0,16343,-16885,", L ,1143,80,562.3,1111,3.79, // ,0.072,13.8829,251.4875
1318,chr2L,15385150,15385440,15385300,619.5,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:15380150-15390440,"CG18482,CG31828,CG15258,","1034,-10768,-23712,", CG31828 ,10768,332.7,720.2,805.5,1.28, // ,0.413,2.4211,56.9283
1319,chrX,6879680,6880010,6879840,578.9,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:6874680-6885010,"CG14430,ogre,inx7,","682,-4109,5803,", CG14430 ,682,268.2,582.9,895.3,1.74, // ,0.2996,3.3378,137.017
1320,chr2L,7526240,7526540,7526390,625.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:7521240-7531540,"Rapgap1,Pbprp5,CG6630,","0,-29030,-30771,", Rapgap1 ,3006,90.4,592,1195.1,3.72, // ,0.0756,13.22,179.0929
1321,chr2R,1825970,1826280,1826130,591.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:1820970-1831280,"CG14470,CG12551,CG7882,","-7262,-17378,19093,", CG14470 ,13769,148.2,736.6,914.7,2.63, // ,0.162,6.1726,203.6962
1322,chr2R,16447830,16448140,16447990,669.7,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:16442830-16453140,"Mgat1,CG13424,l(2)05510,","0,-532,2549,", Mgat1 ,1842,173.4,728.7,1107,2.67, // ,0.1566,6.3844,70.0548
1323,chr3L,7981600,7981900,7981740,766.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:7976600-7986900,"nmo,CG8038,CG8209,","0,-10035,-10784,", nmo ,9592,341.6,828.8,1133.8,1.73, // ,0.3013,3.3194,343.4358
1324,chr3L,17372030,17372360,17372190,576.5,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:17367030-17377360,"Cad74A,CG13728,CG13731,","0,933,4930,", Cad74A ,423,354.2,599.9,786.6,1.15, // ,0.4503,2.2209,83.3058
1325,chr3L,22451110,22451390,22451250,576.5,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:22446110-22456390,"laza,CG11449,CG11438,","665,-2161,8681,", laza ,3033,615,621.1,494.8,-0.31, -\ ,1.2428,0.8046,10.3118
1326,chr3L,10660470,10660770,10660620,682.1,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:10655470-10665770,"simj,CG32068,CG8003,","0,-3086,-4543,", simj ,2778,606.8,685.8,757.4,0.32, -- ,0.8012,1.2481,30.5461
1327,chrXHet,68220,68530,68390,649.7,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrXHet:63220-73530,"CG17159,su(f),CG17169,","0,804,-4041,", su(f) ,804,412.7,860.6,678.5,0.72, /\ ,0.6083,1.6439,48.2751
1328,chr2R,8791810,8792260,8792010,575.3,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:8786810-8797260,"vg,NAT1,CG13319,","-5110,11491,19398,", NAT1 ,11491,226.7,700.6,815.8,1.85, // ,0.2779,3.5979,188.7872
1329,chr3R,2742540,2742840,2742700,590.1,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:2737540-2747840,"Antp,ftz,Scr,","0,-50750,-66814,", Antp ,15862,462.4,854.3,453.7,-0.03, /\ ,1.0192,0.9812,60.7073
1330,chr3R,17485450,17485770,17485620,590.8,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:17480450-17490770,"E2f,CG6353,CG15497,","0,1287,5679,", E2f ,507,209.7,778,789.5,1.91, /- ,0.2656,3.7648,38.6893
1331,chr3R,19613200,19613500,19613360,663.5,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:19608200-19618500,"mbc,Nup98,CG10208,","0,-5994,-13515,", mbc ,5853,266.7,644.9,1078.9,2.02, // ,0.2472,4.0448,29.3114
1332,chr2L,16722180,16722510,16722340,580.4,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:16717180-16727510,"CG31782,Cyt-c-p,VhaSFD,","0,0,797,", Cyt-c-p ,2467,774.3,542.7,462.8,-0.74, \- ,1.6731,0.5977,42.4275
1333,chr3R,27237370,27237690,27237560,573.7,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:27232370-27242690,"Gprk2,CG11337,Gcn2,","0,-6386,-9825,", CG11337 ,6386,805.4,712.3,228.8,-1.82, -\ ,3.5198,0.2841,10.1023
1334,chrX,20607140,20607440,20607310,573.5,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:20602140-20612440,"CG1324,CG15452,shakB,","-323,8787,34978,", CG1324 ,323,801,606.3,331.8,-1.27, \\ ,2.414,0.4142,3.8838
1335,chrX,4507540,4507840,4507700,651.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:4502540-4512840,"peb,CG12184,CG12179,","3901,13712,17384,", peb ,3901,212.7,722.3,1021.7,2.26, // ,0.2081,4.8046,74.1392
1336,chr3L,15118260,15118550,15118400,597.9,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:15113260-15123550,"CG17081,CG16959,CG13457,","0,0,2633,", CG16959 ,18,152.6,644.9,996,2.71, // ,0.1533,6.5251,254.6753
1337,chr2R,14690040,14690550,14690390,570.9,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:14685040-14695550,"l(2)08717,CG15096,CG15094,","0,5450,-6209,", l(2)08717 ,486,54.1,539,1120.7,4.37, // ,0.0483,20.7188,565.6575
1338,chr2L,12616570,12617190,12617020,570.7,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:12611570-12622190,"nub,ref2,pdm2,","0,-5569,40808,", nub ,1327,254.9,625.9,831.2,1.7, // ,0.3066,3.2611,53.6164
1339,chrX,420700,420990,420850,651.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:415700-425990,"arg,CG4293,elav,","0,1123,-3591,", CG4293 ,3035,160.8,569.7,1228.8,2.93, // ,0.1308,7.6424,102.437
1340,chr3R,16792660,16792980,16792810,570,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:16787660-16797980,"Atpalpha,Calx,CG31191,","0,11187,-21558,", Atpalpha ,9328,956.6,545.8,210.5,-2.18, \\ ,4.5439,0.2201,9.9157
1341,chr2R,3970520,3971110,3970950,569.7,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:3965520-3976110,"sut1,slv,Vps28,","0,-1075,-3410,", sut1 ,468,154.9,648.7,934.2,2.59, // ,0.1658,6.0324,284.9706
1342,chr3R,8101840,8102130,8101980,628.7,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:8096840-8107130,"svp,CG17738,CG3942,","0,-4958,-19666,", svp ,4851,394.2,687.3,814.1,1.05, // ,0.4842,2.0651,29.3537
1343,chr3R,16014090,16014430,16014280,568.7,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:16009090-16019430,"CG5023,CG34139,CG17199,","-13683,16250,19642,", CG34139 ,16250,1261.1,398.5,47.5,-4.73, \\ ,26.56,0.0377,5.2347
